Product ID;Product Category;Product Subcategory;Product Name;Product Description;Product Price;Product Weight;Product Size;Order ID;Customer ID;Order Date;Order Status;Order Quantity;Order Total;Payment Method
1066;Touring Bikes;Folding;FoldAway 2000;Advanced folding touring bike;1800.00;28.0;L;2066;3066;2023-03-06;Shipped;1;1800.00;Credit Card
1067;E-Bikes;Mountain;E-TrailBlazer 1000;Electric mountain bike;3200.00;42.0;M;2067;3067;2023-03-07;Shipped;2;6400.00;PayPal
1068;E-Bikes;Mountain;E-TrailBlazer 2000;High-performance electric mountain bike;3700.00;40.0;L;2068;3068;2023-03-08;Processing;1;3700.00;Credit Card
1081;Hybrid Bikes;Commuter;CommutePro 1000;Efficient commuter hybrid bike;1200.00;27.0;M;2081;3081;2023-02-19;Shipped;2;2400.00;Credit Card
1082;Hybrid Bikes;Commuter;CommutePro 2000;High-performance commuter hybrid bike;1500.00;25.0;L;2082;3082;2023-02-20;Processing;1;1500.00;PayPal
1083;Road Bikes;Aero;AeroSpeed 1000;Aerodynamic road bike;2800.00;18.0;M;2083;3083;2023-02-21;Cancelled;3;8400.00;Credit Card
1084;Road Bikes;Aero;AeroSpeed 2000;Advanced aerodynamic road bike;3200.00;16.0;L;2084;3084;2023-02-22;Shipped;1;3200.00;Credit Card
1085;Touring Bikes;Recumbent;ReclineRider 1000;Comfortable recumbent touring bike;2000.00;33.0;M;2085;3085;2023-02-23;Processing;2;4000.00;PayPal
1086;Touring Bikes;Recumbent;ReclineRider 2000;High-performance recumbent touring bike;2400.00;30.0;L;2086;3086;2023-02-24;Shipped;1;2400.00;Credit Card
1087;Mountain Bikes;Downhill;DownhillDominator 1000;Downhill mountain bike;2900.00;34.0;M;2087;3087;2023-02-25;Shipped;2;5800.00;PayPal
1088;Mountain Bikes;Downhill;DownhillDominator 2000;High-performance downhill mountain bike;3300.00;32.0;L;2088;3088;2023-02-26;Processing;1;3300.00;PayPal
1101;Kids Bikes;Balance;LittleBalancer 1000;Starter balance bike for kids;150.00;10.0;M;2101;3101;2023-02-01;Shipped;2;300.00;Credit Card
1102;Kids Bikes;Balance;LittleBalancer 2000;Upgraded balance bike for kids;200.00;9.0;L;2102;3102;2023-02-02;Processing;1;200.00;PayPal
1103;BMX Bikes;Freestyle;FreestyleMaster 1000;Beginner freestyle BMX bike;400.00;25.0;M;2103;3103;2023-02-03;Cancelled;3;1200.00;Credit Card
1104;BMX Bikes;Freestyle;FreestyleMaster 2000;Advanced freestyle BMX bike;600.00;23.0;L;2104;3104;2023-02-04;Shipped;1;600.00;Credit Card
1105;Mountain Bikes;Cross Country;XC-Rider 1000;Cross country mountain bike;1800.00;29.0;M;2105;3105;2023-02-05;Processing;2;3600.00;PayPal
1106;Mountain Bikes;Cross Country;XC-Rider 2000;High-performance cross country bike;2400.00;27.0;L;2106;3106;2023-02-06;Shipped;1;2400.00;Credit Card
1107;Road Bikes;Endurance;EnduranceElite 1000;Endurance road bike;2100.00;20.0;M;2107;3107;2023-02-07;Shipped;2;4200.00;PayPal
1108;Road Bikes;Endurance;EnduranceElite 2000;High-performance endurance road bike;2600.00;18.0;L;2108;3108;2023-02-08;Processing;1;2600.00;Credit Card
2001;Mountain Bikes;Trail;TrailBlazer 3000;Durable and lightweight trail bike;1300.00;23.0;M;2201;3201;2023-04-01;Shipped;2;2600.00;Credit Card
2002;Mountain Bikes;Trail;TrailBlazer 4000;High-performance trail bike;1600.00;22.0;L;2202;3202;2023-04-02;Processing;1;1600.00;PayPal
2003;Road Bikes;Racing;SpeedMaster 3000;Aerodynamic racing bike;1900.00;19.0;M;2203;3203;2023-04-03;Cancelled;3;5700.00;Credit Card
2004;Road Bikes;Racing;SpeedMaster 4000;Top-tier racing bike;2200.00;17.0;L;2204;3204;2023-04-04;Shipped;1;2200.00;Credit Card
2005;Touring Bikes;Adventure;Explorer Pro;Durable touring adventure bike;1800.00;26.0;M;2205;3205;2023-04-05;Processing;2;3600.00;PayPal
2006;Touring Bikes;Adventure;Explorer Elite;Premium adventure touring bike;2000.00;24.0;L;2206;3206;2023-04-06;Shipped;1;2000.00;Credit Card
2007;Mountain Bikes;Enduro;EnduroPro 3000;Endurance-ready enduro bike;2400.00;28.0;M;2207;3207;2023-04-07;Shipped;2;4800.00;PayPal
2008;Mountain Bikes;Enduro;EnduroPro 4000;Top-end enduro mountain bike;2700.00;26.0;L;2208;3208;2023-04-08;Processing;1;2700.00;Credit Card
2011;Road Bikes;Cyclocross;CrossRider Elite;Versatile cyclocross bike;2000.00;20.0;M;2211;3211;2023-04-11;Shipped;2;4000.00;Credit Card
2012;Road Bikes;Cyclocross;CrossRider Pro;High-performance cyclocross bike;2300.00;18.0;L;2212;3212;2023-04-12;Processing;1;2300.00;PayPal
2013;Hybrid Bikes;City;UrbanGo 3000;Efficient city hybrid bike;1500.00;27.0;M;2213;3213;2023-04-13;Cancelled;3;4500.00;Credit Card
2014;Hybrid Bikes;City;UrbanGo 4000;High-end city hybrid bike;1800.00;25.0;L;2214;3214;2023-04-14;Shipped;1;1800.00;Credit Card
2015;Mountain Bikes;Electric;E-TrailMaster 3000;Electric mountain bike;3100.00;41.0;M;2215;3215;2023-04-15;Processing;2;6200.00;PayPal
2016;Mountain Bikes;Electric;E-TrailMaster 4000;Advanced electric mountain bike;3600.00;39.0;L;2216;3216;2023-04-16;Shipped;1;3600.00;Credit Card
2017;Kids Bikes;Balance;JuniorRider 1000;Starter kids balance bike;170.00;9.0;M;2217;3217;2023-04-17;Shipped;2;340.00;Credit Card
2018;Kids Bikes;Balance;JuniorRider 2000;Upgraded kids balance bike;220.00;8.5;L;2218;3218;2023-04-18;Processing;1;220.00;PayPal
2021;Road Bikes;Aero;AeroFlash 3000;Speed-focused aero road bike;2900.00;19.0;M;2221;3221;2023-04-21;Shipped;2;5800.00;Credit Card
2022;Road Bikes;Aero;AeroFlash 4000;Top-tier aero road bike;3300.00;17.5;L;2222;3222;2023-04-22;Processing;1;3300.00;PayPal
2023;BMX Bikes;Freestyle;TrickMaster 1000;Freestyle BMX bike;450.00;24.0;M;2223;3223;2023-04-23;Cancelled;3;1350.00;Credit Card
2024;BMX Bikes;Freestyle;TrickMaster 2000;High-end freestyle BMX bike;650.00;22.0;L;2224;3224;2023-04-24;Shipped;1;650.00;Credit Card
2025;Touring Bikes;Tandem;DuoRider Elite;Comfortable tandem touring bike;2100.00;34.0;M;2225;3225;2023-04-25;Processing;2;4200.00;PayPal
2026;Touring Bikes;Tandem;DuoRider Pro;Top-tier tandem touring bike;2400.00;32.0;L;2226;3226;2023-04-26;Shipped;1;2400.00;Credit Card
2027;E-Bikes;Commuter;CommuteEco 3000;Electric commuter bike;2300.00;36.0;M;2227;3227;2023-04-27;Shipped;2;4600.00;Credit Card
2028;E-Bikes;Commuter;CommuteEco 4000;Premium electric commuter bike;2800.00;34.0;L;2228;3228;2023-04-28;Processing;1;2800.00;PayPal
2031;Mountain Bikes;Fat Bikes;FatTrek 3000;All-terrain fat tire bike;1400.00;31.0;M;2231;3231;2023-04-30;Shipped;2;2800.00;Credit Card
2032;Mountain Bikes;Fat Bikes;FatTrek 4000;High-end fat tire bike;1700.00;29.5;L;2232;3232;2023-05-01;Processing;1;1700.00;PayPal
2033;Kids Bikes;Training;TinyTrek 1000;Starter training bike for kids;200.00;12.0;M;2233;3233;2023-05-02;Cancelled;3;600.00;Credit Card
2034;Kids Bikes;Training;TinyTrek 2000;Upgraded training bike for kids;280.00;11.0;L;2234;3234;2023-05-03;Shipped;1;280.00;Credit Card
2035;Road Bikes;Endurance;MarathonElite 3000;Endurance-ready road bike;2200.00;20.0;M;2235;3235;2023-05-04;Processing;2;4400.00;PayPal
2036;Road Bikes;Endurance;MarathonElite 4000;Advanced endurance road bike;2700.00;18.5;L;2236;3236;2023-05-05;Shipped;1;2700.00;Credit Card
2037;Touring Bikes;Folding;CompactTour 3000;Folding touring bike;1600.00;29.0;M;2237;3237;2023-05-06;Shipped;2;3200.00;Credit Card
2038;Touring Bikes;Folding;CompactTour 4000;High-end folding touring bike;1900.00;27.5;L;2238;3238;2023-05-07;Processing;1;1900.00;PayPal
2041;Mountain Bikes;Downhill;GravityKing 3000;Extreme downhill bike;3100.00;33.0;M;2241;3241;2023-05-11;Shipped;2;6200.00;PayPal
2042;Mountain Bikes;Downhill;GravityKing 4000;Premium downhill bike;3400.00;31.0;L;2242;3242;2023-05-12;Processing;1;3400.00;Credit Card
2043;E-Bikes;Adventure;E-Explorer 3000;Electric adventure bike;3500.00;37.0;M;2243;3243;2023-05-13;Cancelled;3;10500.00;Credit Card
2044;E-Bikes;Adventure;E-Explorer 4000;High-performance electric adventure bike;4000.00;35.0;L;2244;3244;2023-05-14;Shipped;1;4000.00;Credit Card
2045;BMX Bikes;Race;BMXRider 1000;Beginner BMX racing bike;500.00;23.0;M;2245;3245;2023-05-15;Processing;2;1000.00;PayPal
2046;BMX Bikes;Race;BMXRider 2000;Pro BMX racing bike;700.00;21.0;L;2246;3246;2023-05-16;Shipped;1;700.00;Credit Card
2047;Kids Bikes;Mountain;MiniTrail 1000;Kids’ mountain bike;300.00;15.0;M;2247;3247;2023-05-17;Shipped;2;600.00;Credit Card
2048;Kids Bikes;Mountain;MiniTrail 2000;Upgraded kids’ mountain bike;400.00;14.5;L;2248;3248;2023-05-18;Processing;1;400.00;PayPal
2001;Mountain Bikes;Trail;TrailHunter 1000;All-terrain trail bike;1250.00;26.0;M;3001;4001;2022-01-05;Shipped;2;2500.00;Credit Card
2002;Mountain Bikes;Trail;TrailHunter 2000;Advanced all-terrain bike;1550.00;24.0;L;3002;4002;2022-01-06;Processing;1;1550.00;PayPal
2003;Road Bikes;Racing;SpeedPro 1000;Lightweight road racing bike;1850.00;20.0;M;3003;4003;2022-01-07;Cancelled;3;5550.00;Credit Card
2004;Road Bikes;Racing;SpeedPro 2000;High-end road racing bike;2150.00;18.0;L;3004;4004;2022-01-08;Shipped;1;2150.00;Credit Card
2005;Touring Bikes;Adventure;GlobeTrekker 1000;Durable touring bike;1350.00;28.0;M;3005;4005;2022-01-09;Processing;2;2700.00;PayPal
2006;Touring Bikes;Adventure;GlobeTrekker 2000;High-end adventure touring bike;1650.00;26.0;L;3006;4006;2022-01-10;Shipped;1;1650.00;Credit Card
2007;Mountain Bikes;Enduro;EnduroX 1000;Endurance mountain bike;2400.00;30.0;M;3007;4007;2022-01-11;Shipped;2;4800.00;PayPal
2008;Mountain Bikes;Enduro;EnduroX 2000;Pro-level enduro bike;2700.00;28.0;L;3008;4008;2022-01-12;Processing;1;2700.00;Credit Card
2021;Road Bikes;Gravel;GravelPro 1000;Versatile gravel bike;1900.00;24.0;M;3021;4021;2022-02-01;Shipped;2;3800.00;Credit Card
2022;Road Bikes;Gravel;GravelPro 2000;High-performance gravel bike;2200.00;22.0;L;3022;4022;2022-02-02;Processing;1;2200.00;PayPal
2023;Hybrid Bikes;Urban;CityCommuter 1000;Efficient urban hybrid bike;1400.00;27.0;M;3023;4023;2022-02-03;Cancelled;3;4200.00;Credit Card
2024;Hybrid Bikes;Urban;CityCommuter 2000;Advanced commuter bike;1700.00;25.0;L;3024;4024;2022-02-04;Shipped;1;1700.00;Credit Card
2025;E-Bikes;Trail;EcoTrail 1000;Electric trail bike;3100.00;40.0;M;3025;4025;2022-02-05;Processing;2;6200.00;PayPal
2026;E-Bikes;Trail;EcoTrail 2000;High-performance electric trail bike;3500.00;38.0;L;3026;4026;2022-02-06;Shipped;1;3500.00;Credit Card
2027;Touring Bikes;Folding;FoldMaster 1000;Compact folding touring bike;1600.00;30.0;M;3027;4027;2022-02-07;Shipped;2;3200.00;PayPal
2028;Touring Bikes;Folding;FoldMaster 2000;Premium folding touring bike;1900.00;28.0;L;3028;4028;2022-02-08;Processing;1;1900.00;Credit Card
2041;Mountain Bikes;Fat Bikes;SnowCrusher 1000;Rugged fat bike;1400.00;32.0;M;3041;4041;2024-03-01;Shipped;2;2800.00;Credit Card
2042;Mountain Bikes;Fat Bikes;SnowCrusher 2000;High-performance fat bike;1700.00;30.0;L;3042;4042;2024-03-02;Processing;1;1700.00;PayPal
2043;Road Bikes;Cyclocross;CXChampion 1000;Agile cyclocross bike;2000.00;21.0;M;3043;4043;2024-03-03;Cancelled;3;6000.00;Credit Card
2044;Road Bikes;Cyclocross;CXChampion 2000;Advanced cyclocross bike;2300.00;19.0;L;3044;4044;2024-03-04;Shipped;1;2300.00;Credit Card
2045;Kids Bikes;Balance;MiniGlider 1000;Light starter balance bike;160.00;10.0;M;3045;4045;2024-03-05;Processing;2;320.00;PayPal
2046;Kids Bikes;Balance;MiniGlider 2000;Premium starter balance bike;220.00;9.0;L;3046;4046;2024-03-06;Shipped;1;220.00;Credit Card
2047;BMX Bikes;Freestyle;BMXRider 1000;Freestyle BMX bike;450.00;25.0;M;3047;4047;2024-03-07;Shipped;2;900.00;PayPal
2048;BMX Bikes;Freestyle;BMXRider 2000;Pro-level freestyle BMX bike;650.00;23.0;L;3048;4048;2024-03-08;Processing;1;650.00;Credit Card
2061;Touring Bikes;Recumbent;TourRecline 1000;Comfortable recumbent touring bike;2100.00;33.0;M;3061;4061;2024-04-01;Shipped;2;4200.00;Credit Card
2062;Touring Bikes;Recumbent;TourRecline 2000;Advanced recumbent touring bike;2500.00;30.0;L;3062;4062;2024-04-02;Processing;1;2500.00;PayPal
2063;E-Bikes;Commuter;UrbanEco 3000;Electric city bike;2800.00;35.0;M;3063;4063;2024-04-03;Cancelled;3;8400.00;Credit Card
2064;E-Bikes;Commuter;UrbanEco 4000;High-end electric commuter bike;3200.00;33.0;L;3064;4064;2024-04-04;Shipped;1;3200.00;Credit Card
2065;Mountain Bikes;Cross Country;XCElite 1000;Cross-country mountain bike;1850.00;29.0;M;3065;4065;2024-04-05;Processing;2;3700.00;PayPal
2066;Mountain Bikes;Cross Country;XCElite 2000;High-performance XC bike;2250.00;27.0;L;3066;4066;2024-04-06;Shipped;1;2250.00;Credit Card
2067;Road Bikes;Endurance;EnduroRide 1000;Endurance road bike;2200.00;20.0;M;3067;4067;2024-04-07;Shipped;2;4400.00;PayPal
2068;Road Bikes;Endurance;EnduroRide 2000;High-endurance road bike;2700.00;18.0;L;3068;4068;2024-04-08;Processing;1;2700.00;Credit Card
2081;Hybrid Bikes;Commuter;CityPro 1000;Comfortable urban hybrid bike;1300.00;27.0;M;3081;4081;2024-04-15;Shipped;2;2600.00;Credit Card
2082;Hybrid Bikes;Commuter;CityPro 2000;High-performance commuter bike;1650.00;25.0;L;3082;4082;2024-04-16;Processing;1;1650.00;PayPal
2083;E-Bikes;Mountain;EcoMount 1000;Electric mountain bike;3300.00;42.0;M;3083;4083;2024-04-17;Cancelled;3;9900.00;Credit Card
2084;E-Bikes;Mountain;EcoMount 2000;Advanced electric mountain bike;3800.00;40.0;L;3084;4084;2024-04-18;Shipped;1;3800.00;Credit Card
2085;Touring Bikes;Adventure;PathMaster 1000;Durable adventure touring bike;1600.00;30.0;M;3085;4085;2024-04-19;Processing;2;3200.00;PayPal
2086;Touring Bikes;Adventure;PathMaster 2000;Premium adventure bike;1900.00;28.0;L;3086;4086;2024-04-20;Shipped;1;1900.00;Credit Card
2087;Kids Bikes;Pedal;KiddoRide 1000;Starter pedal bike for kids;180.00;12.0;M;3087;4087;2024-04-21;Shipped;2;360.00;PayPal
2088;Kids Bikes;Pedal;KiddoRide 2000;Advanced kids pedal bike;250.00;11.0;L;3088;4088;2024-04-22;Processing;1;250.00;Credit Card
2101;Mountain Bikes;Trail;TrailBlazer 1000;Durable trail mountain bike;1250.00;26.0;M;3101;4101;2024-05-01;Shipped;2;2500.00;Credit Card
2102;Mountain Bikes;Trail;TrailBlazer 2000;Advanced trail mountain bike;1550.00;24.0;L;3102;4102;2024-05-02;Processing;1;1550.00;PayPal
2103;Road Bikes;Racing;SpeedMaster 1000;Lightweight road racing bike;1850.00;20.0;M;3103;4103;2024-05-03;Cancelled;3;5550.00;Credit Card
2104;Road Bikes;Racing;SpeedMaster 2000;Pro-level road racing bike;2150.00;18.0;L;3104;4104;2024-05-04;Shipped;1;2150.00;Credit Card
2105;Touring Bikes;Adventure;TrekPro 1000;Long-distance touring bike;1350.00;28.0;M;3105;4105;2024-05-05;Processing;2;2700.00;PayPal
2106;Touring Bikes;Adventure;TrekPro 2000;Advanced touring adventure bike;1650.00;26.0;L;3106;4106;2024-05-06;Shipped;1;1650.00;Credit Card
2107;Mountain Bikes;Enduro;EnduroMaster 1000;Enduro mountain bike for pros;2400.00;30.0;M;3107;4107;2024-05-07;Shipped;2;4800.00;PayPal
2108;Mountain Bikes;Enduro;EnduroMaster 2000;Top-tier enduro mountain bike;2700.00;28.0;L;3108;4108;2024-05-08;Processing;1;2700.00;Credit Card
2121;Road Bikes;Gravel;GravelMaster 1000;Rugged gravel road bike;1900.00;24.0;M;3121;4121;2024-05-15;Shipped;2;3800.00;Credit Card
2122;Road Bikes;Gravel;GravelMaster 2000;Advanced gravel road bike;2200.00;22.0;L;3122;4122;2024-05-16;Processing;1;2200.00;PayPal
2123;Hybrid Bikes;Urban;UrbanFlex 1000;Comfortable city hybrid bike;1400.00;27.0;M;3123;4123;2024-05-17;Cancelled;3;4200.00;Credit Card
2124;Hybrid Bikes;Urban;UrbanFlex 2000;Premium hybrid commuter bike;1700.00;25.0;L;3124;4124;2024-05-18;Shipped;1;1700.00;Credit Card
2125;E-Bikes;Trail;EcoRide 1000;Electric mountain bike;3100.00;40.0;M;3125;4125;2024-05-19;Processing;2;6200.00;PayPal
2126;E-Bikes;Trail;EcoRide 2000;Pro electric mountain bike;3500.00;38.0;L;3126;4126;2024-05-20;Shipped;1;3500.00;Credit Card
2127;Touring Bikes;Folding;PackMaster 1000;Compact folding bike for touring;1600.00;30.0;M;3127;4127;2024-05-21;Shipped;2;3200.00;PayPal
2128;Touring Bikes;Folding;PackMaster 2000;Premium compact touring bike;1900.00;28.0;L;3128;4128;2024-05-22;Processing;1;1900.00;Credit Card
2141;Mountain Bikes;Fat Bikes;FatTrekker 1000;Rugged fat tire mountain bike;1400.00;32.0;M;3141;4141;2024-06-01;Shipped;2;2800.00;Credit Card
2142;Mountain Bikes;Fat Bikes;FatTrekker 2000;Top-tier fat tire bike;1700.00;30.0;L;3142;4142;2024-06-02;Processing;1;1700.00;PayPal
2143;Road Bikes;Cyclocross;CXPro 1000;Fast and agile cyclocross bike;2000.00;21.0;M;3143;4143;2024-06-03;Cancelled;3;6000.00;Credit Card
2144;Road Bikes;Cyclocross;CXPro 2000;Elite cyclocross road bike;2300.00;19.0;L;3144;4144;2024-06-04;Shipped;1;2300.00;Credit Card
2145;Kids Bikes;Balance;FirstRide 1000;Beginner kids balance bike;160.00;10.0;M;3145;4145;2024-06-05;Processing;2;320.00;PayPal
2146;Kids Bikes;Balance;FirstRide 2000;Premium kids balance bike;220.00;9.0;L;3146;4146;2024-06-06;Shipped;1;220.00;Credit Card
2147;BMX Bikes;Freestyle;BMXPro 1000;Entry-level freestyle BMX;450.00;25.0;M;3147;4147;2024-06-07;Shipped;2;900.00;PayPal
2148;BMX Bikes;Freestyle;BMXPro 2000;Pro freestyle BMX bike;650.00;23.0;L;3148;4148;2024-06-08;Processing;1;650.00;Credit Card
2161;Touring Bikes;Recumbent;ReclineTour 1000;Ergonomic touring recumbent bike;2100.00;33.0;M;3161;4161;2024-06-15;Shipped;2;4200.00;Credit Card
2162;Touring Bikes;Recumbent;ReclineTour 2000;Advanced recumbent bike for touring;2500.00;30.0;L;3162;4162;2024-06-16;Processing;1;2500.00;PayPal
2163;E-Bikes;Commuter;EcoUrban 1000;Efficient electric commuter bike;2800.00;35.0;M;3163;4163;2024-06-17;Cancelled;3;8400.00;Credit Card
2164;E-Bikes;Commuter;EcoUrban 2000;High-performance city e-bike;3200.00;33.0;L;3164;4164;2024-06-18;Shipped;1;3200.00;Credit Card
2165;Mountain Bikes;Cross Country;XCRide 1000;Lightweight cross-country MTB;1850.00;29.0;M;3165;4165;2024-06-19;Processing;2;3700.00;PayPal
2166;Mountain Bikes;Cross Country;XCRide 2000;Pro-level XC mountain bike;2250.00;27.0;L;3166;4166;2024-06-20;Shipped;1;2250.00;Credit Card
2167;Road Bikes;Endurance;EnduroRide 3000;Road bike built for endurance;2200.00;20.0;M;3167;4167;2024-06-21;Shipped;2;4400.00;PayPal
2168;Road Bikes;Endurance;EnduroRide 4000;Elite endurance road bike;2700.00;18.0;L;3168;4168;2024-06-22;Processing;1;2700.00;Credit Card
2181;Hybrid Bikes;Commuter;CityFlex 1000;Urban hybrid for daily commute;1300.00;27.0;M;3181;4181;2024-06-25;Shipped;2;2600.00;Credit Card
2182;Hybrid Bikes;Commuter;CityFlex 2000;Premium hybrid commuter bike;1650.00;25.0;L;3182;4182;2024-06-26;Processing;1;1650.00;PayPal
2183;E-Bikes;Mountain;E-MTBPro 1000;Electric-powered MTB;3300.00;42.0;M;3183;4183;2024-06-27;Cancelled;3;9900.00;Credit Card
2184;E-Bikes;Mountain;E-MTBPro 2000;Advanced electric mountain bike;3800.00;40.0;L;3184;4184;2024-06-28;Shipped;1;3800.00;Credit Card
2185;Touring Bikes;Adventure;TrailMaster 3000;Durable touring adventure bike;1600.00;30.0;M;3185;4185;2024-06-29;Processing;2;3200.00;PayPal
2186;Touring Bikes;Adventure;TrailMaster 4000;Premium adventure touring bike;1900.00;28.0;L;3186;4186;2024-06-30;Shipped;1;1900.00;Credit Card
